[2025-02-05 10:40:15] Method: GET | URL: http://127.0.0.1:8000/airplanes/10/flights/ | Status: 200 | IP: 127.0.0.1
[2025-02-05 10:40:46] Method: GET | URL: http://127.0.0.1:8000/airplanes/ | Status: 200 | IP: 127.0.0.1
[2025-02-05 10:40:54] Method: GET | URL: http://127.0.0.1:8000/airplanes/1/ | Status: 200 | IP: 127.0.0.1
[2025-02-05 10:41:02] Method: GET | URL: http://127.0.0.1:8000/airplanes/10/flights/ | Status: 200 | IP: 127.0.0.1
[2025-02-05 10:47:21] Method: POST | URL: http://127.0.0.1:8000/airplanes/create/ | Status: 201 | IP: 127.0.0.1
[2025-02-05 11:46:19] Method: GET | URL: http://127.0.0.1:8000/airplanes/ | Status: 200 | IP: 127.0.0.1
[2025-02-05 11:46:24] Method: GET | URL: http://127.0.0.1:8000/airplanes/ | Status: 200 | IP: 127.0.0.1
[2025-02-05 11:46:27] Method: GET | URL: http://127.0.0.1:8000/flights/ | Status: 200 | IP: 127.0.0.1
[2025-02-05 11:46:30] Method: GET | URL: http://127.0.0.1:8000/reservations/ | Status: 200 | IP: 127.0.0.1
[2025-02-05 11:46:33] Method: GET | URL: http://127.0.0.1:8000/reservations/1/ | Status: 200 | IP: 127.0.0.1
[2025-02-05 11:46:37] Method: GET | URL: http://127.0.0.1:8000/airplanes/1/ | Status: 200 | IP: 127.0.0.1
[2025-02-05 11:46:39] Method: GET | URL: http://127.0.0.1:8000/flights/7/ | Status: 200 | IP: 127.0.0.1
[2025-02-05 11:46:43] Method: GET | URL: http://127.0.0.1:8000/flights/11/reservations/ | Status: 200 | IP: 127.0.0.1
[2025-02-05 11:46:46] Method: GET | URL: http://127.0.0.1:8000/airplanes/10/flights/ | Status: 200 | IP: 127.0.0.1
[2025-02-05 11:46:54] Method: POST | URL: http://127.0.0.1:8000/airplanes/create/ | Status: 201 | IP: 127.0.0.1
[2025-02-05 11:47:01] Method: POST | URL: http://127.0.0.1:8000/reservations/create/ | Status: 201 | IP: 127.0.0.1
[2025-02-05 11:47:30] Method: PATCH | URL: http://127.0.0.1:8000/reservations/11/update/ | Status: 200 | IP: 127.0.0.1
[2025-02-05 11:47:36] Method: POST | URL: http://127.0.0.1:8000/flights/create/ | Status: 400 | IP: 127.0.0.1
[2025-02-05 11:47:49] Method: POST | URL: http://127.0.0.1:8000/flights/create/ | Status: 201 | IP: 127.0.0.1
